Name,Address,Line,Train Information URL,Web URL,GIS Identifier,Master Address Repository Identifier,CREATOR,CREATED,EDITOR,EDITED
Minnesota Ave,"4120 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D09|Minnesota Ave,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm,MetroStnFullPt_45,"316,352",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Van Ness-UDC,"4230 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A06|Van%20Ness-UDC,https://www.wmata.com/rider-guide/stations/van-ness.cfm,MetroStnFullPt_46,"316,424",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Cleveland Park,"3514 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A05|Cleveland Park,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm,MetroStnFullPt_47,"277,555",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,MetroStnFullPt_48,"294,815",JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N04|Spring%20Hill,https://www.wmata.com/rider-guide/stations/spring-hill.cfm,MetroStnFullPt_49,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N03|Greensboro,https://www.wmata.com/rider-guide/stations/greensboro.cfm,MetroStnFullPt_50,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Tysons,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N02|Tysons%20Corner,https://www.wmata.com/rider-guide/stations/tysons.cfm,MetroStnFullPt_51,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N01|McLean,https://www.wmata.com/rider-guide/stations/mclean.cfm,MetroStnFullPt_52,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D13|New Carrollton,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm,MetroStnFullPt_70,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D12|Landover,https://www.wmata.com/rider-guide/stations/landover.cfm,MetroStnFullPt_71,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
